"Id";"IntentId";"Keyword"
1;1;"hello"
2;1;"hi"
3;1;"hey"
4;1;"good morning"
5;1;"good afternoon"
6;1;"good night"
7;1;"good evening"
8;1;"howdy"
9;1;"greetings"
10;1;"greeting"
11;1;"salutation"
12;1;"nice to meet you"
13;1;"pleased to meet you"
14;1;"yo"
15;1;"what's up"
16;1;"how's it going"
17;1;"long time no see"
18;1;"hey there"
19;1;"hiya"
20;1;"good to see you"
21;1;"what's new"
22;1;"how are you"
36;1;"what’s happening"
37;1;"what’s going on"
38;1;"sup"
39;1;"aloha"
40;1;"good day"
41;1;"cheerio"
42;1;"hey ho"
43;1;"top of the morning to you"
44;1;"hello there"
45;1;"hey you"
46;1;"hello my friend"
47;1;"good to meet you"
48;1;"hey buddy"
49;1;"nice to meet you"
50;1;"how do you do"
51;1;"what's popping"
52;1;"what's cracking"
53;1;"hi there"
54;1;"what's good"
55;1;"what's cooking"
56;1;"what's happening"
57;1;"what's new"
58;1;"what's shaking"
59;1;"how's everything"
60;1;"how's life"
61;1;"how's your day"
62;1;"howdy-do"
63;1;"yoohoo"
64;1;"hola"
65;1;"konnichiwa"
