"Id";"QuestionId";"AnswerTypeId";"Text";"Image";"IsHtml";"IsButton"
1;1;1;"Hi there!";"";0;0
2;1;1;"Hello, good to see you.";"";0;0
4;1;1;"Greetings!";"";0;0
5;1;1;"Salutations!";"";0;0
6;1;1;"Nice to meet you!";"";0;0
7;1;1;"Hiya!";"";0;0
8;1;1;"Top of the morning to you!";"";0;0
9;1;1;"Bonjour!";"";0;0
10;1;1;"Welcome!";"";0;0
11;1;1;"Good to see you again!";"";0;0
12;1;1;"Hola!";"";0;0
13;1;1;"Namaste!";"";0;0
14;1;1;"Aloha!";"";0;0
15;1;1;"Hey, great to have you here!";"";0;0
16;1;1;"Hey, glad you could make it!";"";0;0
17;1;1;"Howdy, partner!";"";0;0
18;1;1;"Hi, it's good to be in your company.";"";0;0
19;1;1;"Good day!";"";0;0
20;1;1;"Hey, thanks for being here!";"";0;0
21;1;1;"It's a pleasure to see you.";"";0;0
22;1;1;"Hey, good to see a friendly face!";"";0;0
23;1;1;"Hi, I hope you're having a good day.";"";0;0
24;1;1;"Hey, good to see you're doing well!";"";0;0
25;1;1;"Hi, hope you're doing fine.";"";0;0
26;2;1;"Hi there!";"";0;0
27;2;1;"Hello, good to see you.";"";0;0
28;2;1;"Greetings!";"";0;0
29;2;1;"Salutations!";"";0;0
30;2;1;"Nice to meet you!";"";0;0
31;2;1;"Hiya!";"";0;0
32;2;1;"Top of the morning to you!";"";0;0
33;2;1;"Bonjour!";"";0;0
34;2;1;"Welcome!";"";0;0
35;2;1;"Good to see you again!";"";0;0
36;2;1;"Hola!";"";0;0
37;2;1;"Namaste!";"";0;0
38;2;1;"Aloha!";"";0;0
39;2;1;"Hey, great to have you here!";"";0;0
40;2;1;"Hey, glad you could make it!";"";0;0
41;2;1;"Howdy, partner!";"";0;0
42;2;1;"Hi, it's good to be in your company.";"";0;0
43;2;1;"Good day!";"";0;0
44;2;1;"Hey, thanks for being here!";"";0;0
45;2;1;"It's a pleasure to see you.";"";0;0
46;2;1;"Hey, good to see a friendly face!";"";0;0
47;2;1;"Hi, I hope you're having a good day.";"";0;0
48;2;1;"Hey, good to see you're doing well!";"";0;0
49;2;1;"Hi, hope you're doing fine.";"";0;0
50;3;1;"Hi there!";"";0;0
51;3;1;"Hello, good to see you.";"";0;0
53;3;1;"Greetings!";"";0;0
54;3;1;"Salutations!";"";0;0
55;3;1;"Nice to meet you!";"";0;0
56;3;1;"Hiya!";"";0;0
57;3;1;"Top of the morning to you!";"";0;0
58;3;1;"Bonjour!";"";0;0
59;3;1;"Welcome!";"";0;0
60;3;1;"Good to see you again!";"";0;0
61;3;1;"Hola!";"";0;0
62;3;1;"Namaste!";"";0;0
63;3;1;"Aloha!";"";0;0
64;3;1;"Hey, great to have you here!";"";0;0
65;3;1;"Hey, glad you could make it!";"";0;0
66;3;1;"Howdy, partner!";"";0;0
67;3;1;"Hi, it's good to be in your company.";"";0;0
68;3;1;"Good day!";"";0;0
69;3;1;"Hey, thanks for being here!";"";0;0
70;3;1;"It's a pleasure to see you.";"";0;0
71;3;1;"Hey, good to see a friendly face!";"";0;0
72;3;1;"Hi, I hope you're having a good day.";"";0;0
73;3;1;"Hey, good to see you're doing well!";"";0;0
74;3;1;"Hi, hope you're doing fine.";"";0;0
75;4;1;"Hi there!";"";0;0
76;4;1;"Hello, good to see you.";"";0;0
77;4;1;"Greetings!";"";0;0
78;4;1;"Salutations!";"";0;0
